datetime,power,capacity,spot_price_prediction
2021-07-04 03:00:00,0.0,0.0,27.25074567375873
2021-07-04 03:30:00,0.0,0.0,26.700738657361317
2021-07-04 04:00:00,-300.0,0.0,23.90722598776452
2021-07-04 04:30:00,-300.0,135.0,22.680895973208397
2021-07-04 05:00:00,-300.0,270.0,23.043733360746984
2021-07-04 05:30:00,-300.0,405.0,21.7601247009102
2021-07-04 06:00:00,-88.8888888888889,540.0,24.584266686247236
2021-07-04 06:30:00,0.0,580.0,29.15018460454374
2021-07-04 07:00:00,0.0,580.0,33.96866067993007
2021-07-04 07:30:00,0.0,580.0,38.01466623014774
2021-07-04 08:00:00,0.0,580.0,44.728006619109706
2021-07-04 08:30:00,0.0,580.0,48.632633563790336
2021-07-04 09:00:00,0.0,580.0,50.4683566695947
2021-07-04 09:30:00,0.0,580.0,53.34372452121524
2021-07-04 10:00:00,0.0,580.0,53.76525931742792
2021-07-04 10:30:00,0.0,580.0,51.54319318103468
2021-07-04 11:00:00,0.0,580.0,49.20018472746048
2021-07-04 11:30:00,0.0,580.0,49.725601928862645
2021-07-04 12:00:00,0.0,580.0,52.92521386108507
2021-07-04 12:30:00,0.0,580.0,51.975192782641386
2021-07-04 13:00:00,0.0,580.0,50.8703981313376
2021-07-04 13:30:00,0.0,580.0,50.57482591685728
2021-07-04 14:00:00,0.0,580.0,54.97864304827401
2021-07-04 14:30:00,0.0,580.0,59.07737216721206
2021-07-04 15:00:00,0.0,580.0,64.15534014195256
2021-07-04 15:30:00,0.0,580.0,66.9314531189251
2021-07-04 16:00:00,0.0,580.0,72.45049407986296
2021-07-04 16:30:00,0.0,580.0,78.67621402564971
2021-07-04 17:00:00,0.0,580.0,86.82096783994491
2021-07-04 17:30:00,1.13686837721616e-13,580.0,94.2477538781784
2021-07-04 18:00:00,300.0,580.0,103.62631176028988
2021-07-04 18:30:00,300.0,430.0,103.4293805241854
2021-07-04 19:00:00,300.0,280.0,101.36973880595922
2021-07-04 19:30:00,260.0,130.0,97.56596869382808
2021-07-04 20:00:00,0.0,0.0,93.89588584798484
2021-07-04 20:30:00,0.0,0.0,88.60440921358496
2021-07-04 21:00:00,0.0,0.0,85.34719758456087
2021-07-04 21:30:00,0.0,0.0,84.03938173182789
2021-07-04 22:00:00,0.0,0.0,81.53060366478341
2021-07-04 22:30:00,0.0,0.0,74.57649956469628
2021-07-04 23:00:00,0.0,0.0,70.0002070662606
2021-07-04 23:30:00,0.0,0.0,70.5741747142398
2021-07-05 00:00:00,0.0,0.0,74.36545047114821
2021-07-05 00:30:00,0.0,0.0,67.4015236037546
2021-07-05 01:00:00,0.0,0.0,62.40290871211556
2021-07-05 01:30:00,0.0,0.0,56.32734829319425
2021-07-05 02:00:00,0.0,0.0,50.05683454546151
2021-07-05 02:30:00,-88.8888888888888,0.0,44.98152559752849
2021-07-05 03:00:00,-300.0,39.9999999999999,42.74400633279103
2021-07-05 03:30:00,-300.0,175.0,42.74765985968669
2021-07-05 04:00:00,-300.0,310.0,42.15968601855917
2021-07-05 04:30:00,-300.0,445.0,44.0820606091088
2021-07-05 05:00:00,0.0,580.0,45.45124324133536
2021-07-05 05:30:00,0.0,580.0,49.31638868609049
2021-07-05 06:00:00,0.0,580.0,57.791828657782006
2021-07-05 06:30:00,0.0,580.0,69.94171618929582
2021-07-05 07:00:00,0.0,580.0,82.53547014027394
2021-07-05 07:30:00,0.0,580.0,91.3200466007744
2021-07-05 08:00:00,0.0,580.0,102.66254346022176
2021-07-05 08:30:00,0.0,580.0,111.0861094042984
2021-07-05 09:00:00,0.0,580.0,116.38282948022048
2021-07-05 09:30:00,0.0,580.0,114.72782914492296
2021-07-05 10:00:00,0.0,580.0,107.8991415120179
2021-07-05 10:30:00,0.0,580.0,104.81470733645858
2021-07-05 11:00:00,0.0,580.0,100.70093729648792
2021-07-05 11:30:00,0.0,580.0,98.7554628820112
2021-07-05 12:00:00,0.0,580.0,99.20159586255294
2021-07-05 12:30:00,0.0,580.0,98.91485696773674
2021-07-05 13:00:00,0.0,580.0,98.54707244661404
2021-07-05 13:30:00,0.0,580.0,97.85003295616816
2021-07-05 14:00:00,0.0,580.0,97.99022686229608
2021-07-05 14:30:00,0.0,580.0,96.63860739730936
2021-07-05 15:00:00,0.0,580.0,97.3860629889088
2021-07-05 15:30:00,0.0,580.0,99.12583441306414
2021-07-05 16:00:00,0.0,580.0,101.8349337825846
2021-07-05 16:30:00,0.0,580.0,107.65751053005248
2021-07-05 17:00:00,0.0,580.0,116.98841754137013
2021-07-05 17:30:00,0.0,580.0,123.36066986316284
2021-07-05 18:00:00,0.0,580.0,130.84779316926188
2021-07-05 18:30:00,260.0,580.0,132.6385192740497
2021-07-05 19:00:00,300.0,450.0,133.32700411688
2021-07-05 19:30:00,300.0,300.0,136.3707903882514
2021-07-05 20:00:00,300.0,150.0,134.07057546853667
2021-07-05 20:30:00,0.0,0.0,132.49343357596342
2021-07-05 21:00:00,0.0,0.0,132.27189825678389
2021-07-05 21:30:00,0.0,0.0,125.11253436553898
2021-07-05 22:00:00,0.0,0.0,115.75853054190404
2021-07-05 22:30:00,0.0,0.0,93.61967177918568
2021-07-05 23:00:00,0.0,0.0,80.2934990099182
2021-07-05 23:30:00,0.0,0.0,79.69528324209037
2021-07-06 00:00:00,0.0,0.0,151.57707639179904
2021-07-06 00:30:00,0.0,0.0,128.22963325547346
2021-07-06 01:00:00,0.0,0.0,114.57040144800786
2021-07-06 01:30:00,0.0,0.0,104.28738027123008
2021-07-06 02:00:00,0.0,0.0,92.7574077724959
2021-07-06 02:30:00,0.0,0.0,85.91188114290783
2021-07-06 03:00:00,0.0,0.0,81.73841173277187
2021-07-06 03:30:00,-300.0,0.0,77.48699736051526
2021-07-06 04:00:00,-300.0,135.0,75.4093300620033
2021-07-06 04:30:00,-300.0,270.0,76.27221668285353
2021-07-06 05:00:00,-300.0,405.0,77.0671412175081
2021-07-06 05:30:00,-88.8888888888888,540.0,80.93252021562535
2021-07-06 06:00:00,0.0,580.0,88.60691131952606
2021-07-06 06:30:00,0.0,580.0,98.80618190109216
2021-07-06 07:00:00,0.0,580.0,111.16677289254918
2021-07-06 07:30:00,0.0,580.0,121.10262872189396
2021-07-06 08:00:00,0.0,580.0,132.09959635113518
2021-07-06 08:30:00,0.0,580.0,141.43403397253456
2021-07-06 09:00:00,0.0,580.0,145.80661829072938
2021-07-06 09:30:00,0.0,580.0,144.62246173126445
2021-07-06 10:00:00,0.0,580.0,140.94242053546373
2021-07-06 10:30:00,0.0,580.0,138.07967103950568
2021-07-06 11:00:00,0.0,580.0,133.6033317087497
2021-07-06 11:30:00,0.0,580.0,127.1467389180698
2021-07-06 12:00:00,0.0,580.0,123.17095650744682
2021-07-06 12:30:00,0.0,580.0,121.97181837525429
2021-07-06 13:00:00,0.0,580.0,120.72798100173684
2021-07-06 13:30:00,0.0,580.0,121.6393714530735
2021-07-06 14:00:00,0.0,580.0,121.83501292942005
2021-07-06 14:30:00,0.0,580.0,123.60305571797062
2021-07-06 15:00:00,0.0,580.0,124.49537132456037
2021-07-06 15:30:00,0.0,580.0,127.33802797435725
2021-07-06 16:00:00,0.0,580.0,130.68028886621968
2021-07-06 16:30:00,0.0,580.0,136.0762638100087
2021-07-06 17:00:00,0.0,580.0,142.96723397866478
2021-07-06 17:30:00,260.0,580.0,150.39489198659393
2021-07-06 18:00:00,300.0,450.0,152.72895595614062
2021-07-06 18:30:00,300.0,300.0,151.42815079777492
